,Call Strike,OI of Call,Change_oi in Call,Call ltp,Put Strike,OIPut,Change_oi in Put,Put ltp,Cost,Cost Per Lot,Arbitrage Diff,Arbitrage percent in Spot,Arbitrage percent in Cost
110,45100.0,2374975.0,1930075.0,209.0,44200.0,1926050.0,372100.0,8.35,217.35,5433.75,-1117.3499999999985,-2.4727819156175728,-5.140786749482395
111,46100.0,1754375.0,698050.0,6.3,45100.0,4001700.0,2254300.0,113.15,119.45,2986.25,-1119.4500000000044,-2.4774293779371783,-9.37170364169112
112,45700.0,3450825.0,1492750.0,18.95,44600.0,2667550.0,780250.0,20.15,39.099999999999994,977.4999999999999,-1139.0999999999985,-2.520916346784783,-29.132992327365695
113,45800.0,2359900.0,438450.0,13.05,44700.0,2593750.0,641550.0,28.35,41.400000000000006,1035.0000000000002,-1141.4000000000015,-2.526006424563391,-27.570048309178777
114,45600.0,3584900.0,1722975.0,29.2,44500.0,4072275.0,646925.0,15.25,44.45,1111.25,-1144.449999999997,-2.5327563103132658,-25.74690663667035
115,45900.0,1876100.0,583675.0,9.6,44800.0,3248775.0,820475.0,39.7,49.300000000000004,1232.5,-1149.2999999999956,-2.543489735194227,-23.31237322515204
116,45500.0,6027700.0,2723900.0,45.5,44400.0,1870800.0,306325.0,11.65,57.15,1428.75,-1157.1500000000015,-2.5608623919603364,-20.247594050743682
117,45200.0,5808700.0,4299350.0,150.55,44200.0,1926050.0,372100.0,8.35,158.9,3972.5,-1158.9000000000015,-2.5647352772266636,-7.293266205160487
118,46200.0,1691100.0,436775.0,5.45,45200.0,5573200.0,3331225.0,155.75,161.2,4029.9999999999995,-1161.199999999997,-2.569825355005255,-7.203473945409412
119,46000.0,4340325.0,1180850.0,7.8,44900.0,3096150.0,1801275.0,56.85,64.65,1616.2500000000002,-1164.6500000000015,-2.5774604716731675,-18.014694508894067
120,45400.0,4535250.0,2639075.0,69.9,44300.0,2207225.0,112700.0,9.5,79.4,1985.0000000000002,-1179.4000000000015,-2.610103361775068,-14.853904282115886
121,46300.0,1066325.0,317750.0,4.85,45400.0,1194400.0,265575.0,275.05,279.90000000000003,6997.500000000001,-1179.9000000000015,-2.6112099004225904,-4.2154340836012905
122,45000.0,2440075.0,1173100.0,276.9,44100.0,1127275.0,-178000.0,7.55,284.45,7111.25,-1184.4500000000044,-2.621279402115048,-4.164000703111283
123,46100.0,1754375.0,698050.0,6.3,45000.0,7724850.0,4165800.0,81.3,87.6,2190.0,-1187.6000000000058,-2.62825059559444,-13.557077625570843
124,45300.0,5254300.0,3348375.0,105.3,44200.0,1926050.0,372100.0,8.35,113.64999999999999,2841.25,-1213.6500000000015,-2.6859012591303304,-10.678838539375288
125,46300.0,1066325.0,317750.0,4.85,45300.0,2801750.0,573900.0,210.05,214.9,5372.5,-1214.9000000000015,-2.688667605749136,-5.6533271288971685
126,45100.0,2374975.0,1930075.0,209.0,44100.0,1127275.0,-178000.0,7.55,216.55,5413.75,-1216.550000000003,-2.692319183285962,-5.617871161394611
127,46200.0,1691100.0,436775.0,5.45,45100.0,4001700.0,2254300.0,113.15,118.60000000000001,2965.0,-1218.5999999999985,-2.6968559917407924,-10.274873524451927
128,45800.0,2359900.0,438450.0,13.05,44600.0,2667550.0,780250.0,20.15,33.2,830.0000000000001,-1233.2000000000044,-2.72916692024845,-37.14457831325314
129,45700.0,3450825.0,1492750.0,18.95,44500.0,4072275.0,646925.0,15.25,34.2,855.0000000000001,-1234.199999999997,-2.7313799975434776,-36.087719298245524
130,45900.0,1876100.0,583675.0,9.6,44700.0,2593750.0,641550.0,28.35,37.95,948.7500000000001,-1237.949999999997,-2.739679037399893,-32.62055335968372
131,45600.0,3584900.0,1722975.0,29.2,44400.0,1870800.0,306325.0,11.65,40.85,1021.25,-1240.8499999999985,-2.7460969615555246,-30.37576499388001
132,46000.0,4340325.0,1180850.0,7.8,44800.0,3248775.0,820475.0,39.7,47.5,1187.5,-1247.5,-2.760813925567571,-26.263157894736842
133,45500.0,6027700.0,2723900.0,45.5,44300.0,2207225.0,112700.0,9.5,55.0,1375.0,-1255.0,-2.7774120052804023,-22.818181818181817
134,45200.0,5808700.0,4299350.0,150.55,44100.0,1127275.0,-178000.0,7.55,158.10000000000002,3952.5000000000005,-1258.1000000000058,-2.7842725448950523,-7.9576217583808075
135,46300.0,1066325.0,317750.0,4.85,45200.0,5573200.0,3331225.0,155.75,160.6,4015.0,-1260.5999999999985,-2.789805238132647,-7.849315068493142
136,46100.0,1754375.0,698050.0,6.3,44900.0,3096150.0,1801275.0,56.85,63.15,1578.75,-1263.1500000000015,-2.7954485852350155,-20.00237529691214
137,45400.0,4535250.0,2639075.0,69.9,44200.0,1926050.0,372100.0,8.35,78.25,1956.25,-1278.25,-2.828866052390179,-16.335463258785943
138,46400.0,814075.0,259075.0,4.45,45400.0,1194400.0,265575.0,275.05,279.5,6987.5,-1279.5,-2.831632399008984,-4.577817531305904
